"","sftgcode","year","byregn2","group","sftgname","feanctig","sftptv2a","sftpcons","ethherf","relhrel","disp4cat","sftpdur2","floil","maccat","logim","logtpop","logmtn","anocracy","democracy","log_gdpc","miss_ind","glb_ind","cwar_ind","reg_ind","sample"
"18","AUL",1961,2,1,"Australia",1,"Full democracy",0,0.992379248142242,0.524820685386658,1,0,0,0,-1.46239376068115,9.21602439880371,1.13140213489532,0,1,7.82268095016479,0,"Y","Y","",1
"19","AUL",1969,2,1,"Australia",1,"Full democracy",0,0.992379248142242,0.524820685386658,0,0,0,0,-1.68417024612427,9.37830924987793,1.13140213489532,0,1,8.15614318847656,0,"Y","","Y",1
"20","AUL",1971,2,1,"Australia",1,"Full democracy",0,0.992379248142242,0.524820685386658,0,0,0,0,-1.7273451089859,9.41597175598145,1.13140213489532,0,1,8.34970188140869,0,"Y","Y","",1
"21","AUL",1974,2,1,"Australia",1,"Full democracy",0,0.983378469944,0.482401311397552,0,0,0,0,-1.61719214916229,9.48097801208496,1.13140213489532,0,1,8.53269290924072,0,"Y","","Y",1
"22","AUL",1987,2,1,"Australia",1,"Full democracy",0,0.97663551568985,0.423205494880676,0,0,0,0,-1.71739506721497,9.6576509475708,1.13140213489532,0,1,9.50622749328613,0,"Y","","Y",1
"23","BAH",1975,5,1,"Bahrain",0,"Full autocracy",0,0.79091602563858,0.473999500274658,1,1,1,0,-0.304345726966858,5.51342868804932,0,0,0,8.43988037109375,0,"Y","Y","",1
"24","BAH",1981,5,1,"Bahrain",0,"Full autocracy",0,0.79091602563858,0.473999500274658,1,0,1,0,-0.53400319814682,5.80513477325439,0,0,0,9.06137657165527,0,"Y","","",1
"25","BAH",1992,5,1,"Bahrain",0,"Full autocracy",0,0.606142520904541,0.428069829940796,1,0,1,0,-0.495109558105469,6.1944055557251,0,0,0,9.27538204193115,0,"Y","Y","",1
"26","BEL",1968,3,1,"Belgium",0,"Full democracy",0,0.477626293897629,0.859525978565216,0,0,0,0,-1.43518090248108,9.16020393371582,0,0,1,7.85193347930908,0,"Y","","Y",1
"27","BEL",1998,3,1,"Belgium",0,"Full democracy",0,0.490686774253845,0.737923979759216,0,0,0,0,-2.04640173912048,9.22660732269287,0,0,1,9.95708465576172,0,"Y","Y","",1
"28","BEN",1963,1,1,"Benin",0,"Partial democracy with factionalism",1,0.409090727567673,0.534699320793152,0,0,0,0,0.474965900182724,7.72753524780273,0,1,0,5.53457450866699,0,"Y","","Y",1
"29","BEN",1972,1,1,"Benin",0,"Partial autocracy",1,0.177808120846748,0.490513265132904,0,1,0,0,0.549136757850647,7.90285730361938,0,1,0,5.88496446609497,0,"Y","","Y",1
"30","BEN",1980,1,1,"Benin",0,"Full autocracy",0,0.177808120846748,0.490513265132904,0,0,0,0,0.67877721786499,8.09529399871826,0,0,0,6.2406849861145,0,"Y","","Y",1
"31","BEN",1985,1,1,"Benin",0,"Full autocracy",0,0.177922636270523,0.446359425783157,0,0,0,0,0.796167731285095,8.2374792098999,0,0,0,6.59230470657349,0,"Y","Y","",1
"32","BEN",1988,1,1,"Benin",0,"Full autocracy",0,0.177922636270523,0.446359425783157,0,0,0,0,0.800252497196198,8.32675838470459,0,0,0,6.72368812561035,0,"Y","Y","",1
"33","BEN",1992,1,1,"Benin",0,"Transition",0,0.190479010343552,0.412517696619034,0,1,0,0,0.791458129882812,8.44462203979492,0,0,0,6.8186616897583,0,"Y","Y","",1
"34","BFO",1963,1,1,"Burkina Faso",0,"Full autocracy",0,0.401472538709641,0.577274680137634,0,0,0,0,0.50760281085968,8.42178344726562,0,0,0,5.03389596939087,0,"Y","","Y",1
"35","BFO",1966,1,1,"Burkina Faso",0,"Full autocracy",0,0.401472538709641,0.577274680137634,0,0,0,0,0.555602431297302,8.47574615478516,0,0,0,5.1050968170166,0,"Y","Y","",1
"36","BFO",1980,1,1,"Burkina Faso",0,"Partial democracy with factionalism",1,0.334885388612747,0.43628191947937,0,1,0,0,0.583598613739014,8.78186225891113,0,1,0,5.85653209686279,0,"Y","","Y",1
"37","BFO",1992,1,1,"Burkina Faso",0,"Full autocracy",0,0.32641789317131,0.366194486618042,0,0,0,0,0.85406357049942,9.09616374969482,0,0,0,6.63325262069702,0,"Y","Y","",1
"38","BFO",2002,1,1,"Burkina Faso",0,"Full autocracy",0,0.315445989370346,0.362614005804062,0,0,0,0,1.15851044654846,9.38471412658691,0,1,0,6.89332151412964,0,"Y","Y","",1
"39","BHU",1956,2,1,"Bhutan",0,"Full autocracy",0,0.380461990833282,0.596877574920654,1,0,0,0,0.625230729579926,6.67834234237671,4.55702972412109,0,0,5.19295692443848,0,"Y","Y","",1
"40","BHU",1960,2,1,"Bhutan",0,"Full autocracy",0,0.380461990833282,0.596877574920654,1,0,0,0,0.715208888053894,6.72982406616211,4.55702972412109,0,0,5.28320360183716,0,"Y","Y","",1
"41","BHU",1965,2,1,"Bhutan",0,"Full autocracy",0,0.380461990833282,0.596877574920654,1,0,0,0,0.493734300136566,6.82437372207642,4.55702972412109,0,0,5.34710741043091,0,"Y","Y","",1
"42","BHU",1969,2,1,"Bhutan",0,"Full autocracy",0,0.380461990833282,0.596877574920654,1,0,0,0,0.572571218013763,6.90374708175659,4.55702972412109,0,0,5.43807935714722,0,"Y","","Y",1
"43","BHU",1971,2,1,"Bhutan",0,"Full autocracy",0,0.380461990833282,0.596877574920654,1,0,0,0,0.533602952957153,6.94408702850342,4.55702972412109,0,0,5.52942895889282,0,"Y","Y","",1
"44","BHU",1974,2,1,"Bhutan",0,"Full autocracy",0,0.382077991962433,0.543914020061493,1,0,0,0,0.685392916202545,7.00669527053833,4.55702972412109,0,0,5.66988086700439,0,"Y","","Y",1
"45","BHU",1983,2,1,"Bhutan",0,"Full autocracy",0,0.384174257516861,0.547482013702393,1,0,0,0,0.846639335155487,7.20711898803711,4.55702972412109,0,0,6.34388065338135,0,"Y","Y","",1
"46","BHU",1987,2,1,"Bhutan",0,"Full autocracy",0,0.384174257516861,0.547482013702393,1,0,0,0,0.944262087345123,7.30384302139282,4.55702972412109,0,0,6.51025819778442,0,"Y","","Y",1
"47","BLR",1995,3,2,"Belarus",0,"Partial democracy with factionalism",1,0.643225371837616,0.383456289768219,0,0,0,0,-1.07755887508392,9.2390251159668,0,0,1,8.6974458694458,0,"Y","","Y",1
"48","BNG",1974,2,1,"Bangladesh",0,"Partial democracy with factionalism",1,0.948507487773895,0.756636321544647,1,0,0,0,0.478582292795181,11.1523571014404,0,0,1,5.66663408279419,0,"Y","","Y",1
"49","BOL",1966,4,1,"Bolivia",0,"Full autocracy",0,0.309722453355789,0.937425971031189,0,0,0,0,0.0554435476660728,8.2063102722168,3.60821151733398,1,0,6.38379383087158,0,"Y","","Y",1
"50","BOL",1978,4,1,"Bolivia",0,"Full autocracy",0,0.311947017908096,0.878824412822723,0,0,0,0,0.145557999610901,8.49208068847656,3.60821151733398,0,0,7.18280029296875,0,"Y","","Y",1
"51","BOT",1970,1,1,"Botswana",0,"Partial democracy without factionalism",0,0.628933906555176,0.398739993572235,0,0,0,0,-0.269501209259033,6.48920488357544,0,0,1,5.79651355743408,0,"Y","","Y",1
"52","BOT",1983,1,1,"Botswana",0,"Partial democracy without factionalism",0,0.629644513130188,0.366751372814178,0,0,0,0,-0.105189852416515,6.92951679229736,0,0,1,7.59500026702881,0,"Y","Y","",1
"53","BOT",1990,1,1,"Botswana",0,"Partial democracy without factionalism",0,0.629644513130188,0.366751372814178,0,0,0,0,-0.230956092476845,7.15305185317993,0,0,1,8.36582565307617,0,"Y","Y","",1
"54","BOT",1994,1,1,"Botswana",0,"Partial democracy without factionalism",0,0.669911205768585,0.305447578430176,0,0,0,0,-0.136988013982773,7.26752519607544,0,0,1,8.5987377166748,0,"Y","","Y",1
"55","BRA",1961,4,1,"Brazil",0,"Partial democracy with factionalism",1,0.456823736429214,0.877719044685364,0,0,0,0,0.297066777944565,11.1651964187622,1.41098701953888,0,1,6.2823600769043,0,"Y","","Y",1
"56","BRA",1970,4,1,"Brazil",0,"Full autocracy",0,0.456823736429214,0.877719044685364,0,0,0,0,0.0111408270895481,11.4220590591431,1.41098701953888,0,0,6.77530908584595,0,"Y","","Y",1
"57","BRA",1978,4,1,"Brazil",0,"Partial autocracy",0,0.360201150178909,0.821983695030212,0,1,0,0,0.0256807189434767,11.6147327423096,1.41098701953888,1,0,7.80347204208374,0,"Y","","Y",1
"58","BRA",1999,4,1,"Brazil",0,"Partial democracy without factionalism",0,0.360196113586426,0.679372251033783,0,0,0,0,0.0364623740315437,12.0141429901123,1.41098701953888,0,1,8.87713813781738,0,"Y","","Y",1
"59","BUI",1977,1,1,"Burundi",0,"Full autocracy",0,0.736657500267029,0.45442607998848,1,0,0,0,0.166862711310387,8.21066761016846,4.32413244247437,0,0,5.7808051109314,0,"Y","Y","",1
"60","BUI",1988,1,1,"Burundi",0,"Full autocracy",1,0.736682415008545,0.472694098949432,1,0,0,0,0.422476440668106,8.52357292175293,4.32413244247437,0,0,6.51290369033813,0,"Y","Y","",1
"61","BUL",1968,3,1,"Bulgaria",0,"Full autocracy",0,0.697432041168213,0.517810881137848,1,0,0,0,-0.647459924221039,9.01990604400635,3.05870699882507,0,0,7.17242479324341,0,"Y","","Y",1
"62","CAM",1956,2,1,"Cambodia",0,"Transition",0,0.751449525356293,0.812559306621552,0,1,0,0,0.778414189815521,8.48466968536377,0.6931471824646,0,0,5.80513477325439,0,"Y","Y","",1
"63","CAM",1960,2,1,"Cambodia",0,"Full autocracy",0,0.751449525356293,0.812559306621552,0,0,0,0,0.836828172206879,8.55236721038818,0.6931471824646,0,0,5.89715385437012,0,"Y","Y","",1
"64","CAM",1970,2,1,"Cambodia",0,"Full autocracy",1,0.751449525356293,0.812559306621552,0,0,0,0,0.654413461685181,8.80372428894043,0.6931471824646,0,0,6.06508684158325,0,"Y","Y","",1
"65","CAM",1997,2,1,"Cambodia",0,"Partial democracy with factionalism",1,0.737852811813354,0.725800275802612,1,1,0,0,0.848017275333405,9.34879684448242,0.6931471824646,1,0,7.52387571334839,0,"Y","","Y",1
"66","CAN",1956,3,1,"Canada",0,"Full democracy",0,0.240603253245354,0.413526117801666,1,0,0,0,-1.18916726112366,9.66370677947998,2.79728126525879,0,1,7.61109018325806,0,"Y","Y","",1
"67","CAO",1962,1,1,"Cameroon",0,"Full autocracy",0,0.159138351678848,0.322367995977402,0,0,0,0,0.158004254102707,8.57583904266357,2.92852354049683,0,0,5.22035598754883,0,"Y","","Y",1
"68","CAO",1965,1,1,"Cameroon",0,"Full autocracy",0,0.159138351678848,0.322367995977402,0,0,0,0,0.0879926234483719,8.63728427886963,2.92852354049683,0,0,5.32300996780396,0,"Y","Y","",1
"69","CAO",1970,1,1,"Cameroon",0,"Full autocracy",0,0.159138351678848,0.322367995977402,0,0,0,0,0.11794538795948,8.75068283081055,2.92852354049683,0,0,5.60211896896362,0,"Y","","Y",1
"70","CAO",1984,1,1,"Cameroon",0,"Full autocracy",0,0.177674695849419,0.250050008296967,0,0,1,0,0.491672307252884,9.13313484191895,2.92852354049683,0,0,7.03790616989136,0,"Y","Y","",1
"71","CAO",1991,1,1,"Cameroon",0,"Full autocracy",0,0.177674695849419,0.250050008296967,1,0,0,0,0.574110865592957,9.33467960357666,2.92852354049683,0,0,7.19368600845337,0,"Y","Y","",1
"72","CAO",1994,1,1,"Cameroon",0,"Partial autocracy",0,0.16565828025341,0.255940109491348,1,1,1,0,0.684657156467438,9.42173480987549,2.92852354049683,1,0,7.02286815643311,0,"Y","","Y",1
"73","CEN",1963,1,1,"Central African Republic",0,"Full autocracy",0,0.387610763311386,0.310541987419128,0,0,0,0,0.300512194633484,7.35115814208984,1.68639898300171,0,0,6.13159608840942,0,"Y","","Y",1
"74","CEN",1966,1,1,"Central African Republic",0,"Full autocracy",0,0.387610763311386,0.310541987419128,0,0,0,0,0.353679805994034,7.4091362953186,1.68639898300171,0,0,6.14298295974731,0,"Y","Y","",1
"75","CEN",2003,1,1,"Central African Republic",0,"Partial democracy with factionalism",1,0.25110998749733,0.216846853494644,0,0,0,0,1.15233087539673,8.23482990264893,1.68639898300171,0,1,6.95368432998657,0,"Y","","Y",1
"76","CHA",1965,1,1,"Chad",0,"Full autocracy",1,0.200365990400314,0.358202010393143,1,0,0,0,0.447898864746094,8.07837772369385,2.25129175186157,0,0,5.73886013031006,0,"Y","Y","",1
"77","CHA",2002,1,1,"Chad",0,"Partial autocracy",0,0.239730000495911,0.426978141069412,0,0,0,0,1.11392652988434,8.96966934204102,2.25129175186157,1,0,6.86631870269775,0,"Y","Y","",1
"78","CHL",1963,4,1,"Chile",0,"Partial democracy with factionalism",0,0.614585995674133,0.803673803806305,0,0,0,0,-0.104326143860817,8.96123790740967,4.07073450088501,1,0,6.8355393409729,0,"Y","","Y",1
"79","CHL",1973,4,1,"Chile",0,"Partial democracy with factionalism",1,0.61375766992569,0.723928034305573,0,0,0,0,-0.21198545396328,9.17678356170654,4.07073450088501,0,1,7.46373605728149,0,"Y","","",1
"80","CHN",1956,2,1,"China",0,"Full autocracy",1,0.92248946428299,0.327504605054855,1,0,0,0,0.0344202257692814,13.3195819854736,3.64805746078491,0,0,4.82887363433838,0,"Y","Y","",1
"81","CHN",1966,2,1,"China",0,"Full autocracy",1,0.92248946428299,0.509356617927551,1,0,0,1,-0.232533290982246,13.4760322570801,3.64805746078491,0,0,5.13308906555176,0,"Y","Y","",1
"82","CHN",1983,2,1,"China",0,"Full autocracy",0,0.917525291442871,0.639532029628754,0,0,0,1,-0.278000473976135,13.8278379440308,3.64805746078491,0,0,6.5641942024231,0,"Y","Y","",1
"83","CHN",1988,2,1,"China",0,"Full autocracy",1,0.917525291442871,0.639532029628754,0,0,0,1,-0.176456436514854,13.898720741272,3.64805746078491,0,0,7.11618328094482,0,"Y","Y","",1
"84","COL",1968,4,1,"Colombia",1,"Partial democracy without factionalism",0,0.349897235631943,0.925891995429993,1,0,0,0,-0.053960133343935,9.9123477935791,3.64021420478821,0,1,6.53261089324951,0,"Y","","Y",1
"85","COL",1984,4,1,"Colombia",1,"Partial democracy without factionalism",1,0.331349700689316,0.894204378128052,1,0,0,0,-0.200492069125175,10.2995414733887,3.64021420478821,0,1,7.92702484130859,0,"Y","Y","",1
"86","COM",1980,1,1,"Comoros",0,"Full autocracy",0,1,0.744117975234985,0,1,0,0,0.414503246545792,5.88053321838379,3.40119743347168,1,0,6.98603963851929,0,"Y","","Y",1
"87","COM",1988,1,1,"Comoros",0,"Full autocracy",0,1,0.744117975234985,0,0,0,0,0.68391352891922,6.15273284912109,3.40119743347168,0,0,7.55038785934448,0,"Y","Y","",1
"88","COM",1995,1,1,"Comoros",0,"Partial democracy with factionalism",1,1,0.758431673049927,0,0,0,0,0.931444406509399,6.3543701171875,3.40119743347168,1,0,7.6239595413208,0,"Y","","Y",1
"89","CON",1963,1,2,"Congo-Brazzaville",0,"Partial democracy with factionalism",1,0.42579385638237,0.363158643245697,0,0,0,0,0.354810386896133,6.93634271621704,0,1,0,5.42811679840088,0,"Y","","Y",1
"90","CON",1967,1,1,"Congo-Brazzaville",0,"Full autocracy",0,0.42579385638237,0.363158643245697,0,1,0,0,0.382085621356964,7.04228639602661,0,0,0,5.63863945007324,0,"Y","","Y",1
"91","CON",1981,1,1,"Congo-Brazzaville",0,"Full autocracy",0,0.298456460237503,0.364485234022141,1,0,1,0,0.613946437835693,7.46622753143311,0,0,0,6.6276707649231,0,"Y","","Y",1
"92","CON",1990,1,1,"Congo-Brazzaville",0,"Full autocracy",0,0.298969000577927,0.369719415903091,1,0,1,0,0.847853541374207,7.75576734542847,0,0,0,7.30843544006348,0,"Y","Y","",1
"93","CON",1997,1,1,"Congo-Brazzaville",0,"Partial democracy with factionalism",1,0.327555477619171,0.375664591789246,0,0,1,0,0.985854387283325,7.98480319976807,0,1,0,7.24056386947632,0,"Y","Y","",1
"94","CON",2003,1,1,"Congo-Brazzaville",0,"Full autocracy",0,0.307341992855072,0.37715744972229,1,0,1,0,1.18119883537292,8.17244720458984,0,1,0,7.83708047866821,0,"Y","","Y",1
"95","COS",1963,4,1,"Costa Rica",0,"Full democracy",0,0.844891309738159,0.841575145721436,0,0,0,0,-0.439483463764191,7.23056316375732,3.14415216445923,0,1,6.66363048553467,0,"Y","","Y",1
"96","COS",1966,4,1,"Costa Rica",0,"Full democracy",0,0.844891309738159,0.841575145721436,0,0,0,0,-0.157583355903625,7.33432912826538,3.14415216445923,0,1,6.76159572601318,0,"Y","","Y",1
"97","COS",1971,4,1,"Costa Rica",0,"Full democracy",0,0.844891309738159,0.841575145721436,0,0,0,0,-0.306730270385742,7.4815559387207,3.14415216445923,0,1,7.03826570510864,0,"Y","","Y",1
"98","COS",1977,4,1,"Costa Rica",0,"Full democracy",0,0.79246586561203,0.815360128879547,0,0,0,0,-0.661320745944977,7.62608289718628,3.14415216445923,0,1,7.5436544418335,0,"Y","","Y",1
"99","CUB",1968,4,1,"Cuba",0,"Full autocracy",0,0.569849610328674,0.606031239032745,0,0,0,0,-0.725969135761261,8.97562980651855,1.69410693645477,0,0,7.43189191818237,0,"Y","","Y",1
"100","CUB",1978,4,1,"Cuba",0,"Full autocracy",0,0.566563785076141,0.385823994874954,0,0,0,0,-1.27478218078613,9.14984703063965,1.69410693645477,0,0,7.97968149185181,0,"Y","","Y",1
"101","CYP",1963,3,1,"Cyprus",0,"Partial democracy with factionalism",1,0.643181681632996,0.670845448970795,1,0,0,0,-1.14986097812653,6.35784244537354,2.30258512496948,0,1,6.61489963531494,0,"Y","Y","",1
"102","CYP",1974,3,1,"Cyprus",0,"Partial democracy with factionalism",1,0.693438291549683,0.661913096904755,1,0,0,0,-1.70474803447723,6.42324686050415,2.30258512496948,0,1,7.65617609024048,0,"Y","Y","",1
"103","CYP",1991,3,1,"Cyprus",0,"Full democracy",0,0.693763077259064,0.650343418121338,0,0,0,0,-1.54916703701019,6.51025819778442,2.30258512496948,0,1,9.20302200317383,0,"Y","","Y",1
"104","CYP",1995,3,1,"Cyprus",0,"Full democracy",0,0.6953125,0.645046591758728,0,0,0,0,-1.51287698745728,6.57786130905151,2.30258512496948,0,1,9.4621410369873,0,"Y","","Y",1
"105","CZE",1958,3,1,"Czechoslovakia",0,"Full autocracy",0,0.525615096092224,0.504723072052002,1,0,0,0,-1.14121615886688,9.49016666412354,1.94591009616852,0,0,6.09807443618774,0,"Y","","Y",1
"106","CZE",1968,3,1,"Czechoslovakia",0,"Full autocracy",1,0.525615096092224,0.504723072052002,1,0,0,0,-1.47229862213135,9.56381034851074,1.94591009616852,0,0,6.52062129974365,0,"Y","","Y",1
"107","CZR",1995,3,1,"Czech Republic",0,"Full democracy",0,0.909273982048035,0.444260001182556,0,0,0,0,-1.54756247997284,9.24251747131348,1.15071380138397,0,1,9.32001304626465,0,"Y","","Y",1
"108","DOM",1963,4,1,"Dominican Republic",0,"Transition",1,0.570703148841858,0.946950018405914,1,1,0,0,-0.0213957671076059,8.1140251159668,2.85647010803223,0,0,5.90290641784668,0,"Y","","Y",1
"109","DOM",1973,4,1,"Dominican Republic",0,"Partial autocracy",0,0.565693616867065,0.906917989253998,1,0,0,0,-0.0226967949420214,8.42222309112549,2.85647010803223,1,0,6.62052631378174,0,"Y","","",1
"110","DOM",1977,4,1,"Dominican Republic",0,"Partial autocracy",0,0.565693616867065,0.906917989253998,1,0,0,0,-0.0201011784374714,8.52654933929443,2.85647010803223,1,0,7.10957717895508,0,"Y","","Y",1
"111","DRV",1956,2,1,"Vietnam, North",0,"Full autocracy",0,0.760412335395813,0.597871005535126,0,0,0,0,0.400915205478668,9.55393028259277,NA,0,0,5.43807935714722,1,"Y","Y","",1
"112","DRV",1960,2,1,"Vietnam, North",0,"Full autocracy",0,0.760412335395813,0.597871005535126,0,0,0,0,0.392688870429993,9.6176700592041,NA,0,0,5.52545309066772,1,"Y","Y","",1
"113","DRV",1965,2,1,"Vietnam, North",0,"Full autocracy",0,0.760412335395813,0.597871005535126,0,0,0,0,-0.0308282971382141,9.792555809021,NA,0,0,5.58724880218506,1,"Y","Y","",1
"114","DRV",1969,2,1,"Vietnam, North",0,"Full autocracy",0,0.760412335395813,0.597871005535126,0,0,0,0,-0.210295408964157,9.89595890045166,NA,0,0,5.68017244338989,1,"Y","","Y",1
"115","DRV",1971,2,1,"Vietnam, North",0,"Full autocracy",0,0.760412335395813,0.597871005535126,0,0,0,0,-0.20664681494236,9.93885517120361,NA,0,0,5.7714409828186,1,"Y","Y","",1
"116","ECU",1970,4,1,"Ecuador",0,"Partial democracy with factionalism",1,0.368395388126373,0.929678022861481,1,1,0,0,-0.332680106163025,8.63515377044678,3.66356158256531,1,0,6.4843602180481,0,"Y","","Y",1
"117","ECU",1978,4,2,"Ecuador",0,"Full autocracy",0,0.369964510202408,0.924227833747864,1,0,1,0,-0.220424920320511,8.86911678314209,3.66356158256531,1,0,7.42334175109863,0,"Y","Y","",1
"118","EGY",1957,5,1,"Egypt",0,"Full autocracy",0,0.946918249130249,0.849060893058777,1,0,0,0,0.411929249763489,10.1142349243164,0.6931471824646,0,0,5.73246717453003,0,"Y","","Y",1
"119","EGY",1962,5,1,"Egypt",0,"Full autocracy",0,0.946918249130249,0.849060893058777,1,0,0,0,0.315042614936829,10.2342290878296,0.6931471824646,0,0,5.92251634597778,0,"Y","Y","",1
"120","EGY",1971,5,1,"Egypt",0,"Full autocracy",0,0.946918249130249,0.849060893058777,1,0,0,0,0.217766657471657,10.4495258331299,0.6931471824646,0,0,6.42136192321777,0,"Y","","Y",1
"121","EGY",1975,5,1,"Egypt",0,"Full autocracy",0,0.904711961746216,0.849060893058777,0,0,0,0,0.342671662569046,10.536114692688,0.6931471824646,0,0,6.65955018997192,0,"Y","Y","",1
"122","EGY",1980,5,1,"Egypt",0,"Full autocracy",0,0.904711961746216,0.849060893058777,0,0,0,0,0.316447228193283,10.6442813873291,0.6931471824646,0,0,7.03765153884888,0,"Y","Y","",1
"123","EGY",1992,5,1,"Egypt",0,"Full autocracy",1,0.904534995555878,0.849060893058777,0,0,0,0,0.417785584926605,10.928955078125,0.6931471824646,0,0,7.91080713272095,0,"Y","Y","",1
"124","EQG",1992,1,1,"Equatorial Guinea",0,"Full autocracy",0,0.739543974399567,0.736408889293671,1,0,0,0,0.865432322025299,5.86929702758789,NA,0,0,6.93322801589966,1,"Y","Y","",1
"125","ETH",1961,1,1,"Ethiopia",0,"Full autocracy",1,0.340980559587479,0.376688122749329,1,0,0,0,0.447665452957153,9.98506736755371,4.26829767227173,0,0,4.78189277648926,0,"Y","Y","",1
"126","ETI",1999,1,1,"Ethiopia(1993-)",0,"Partial democracy with factionalism",1,0.273788541555405,0.43823829293251,0,1,0,0,1.07172894477844,11.0131549835205,4.26268005371094,1,0,6.39757966995239,0,"Y","Y","",1
"127","FIN",1974,3,1,"Finland",0,"Full democracy",0,0.862151563167572,0.870586514472961,0,0,0,0,-1.94769430160522,8.44333171844482,0.157003745436668,0,1,8.2994499206543,0,"Y","Y","",1
"128","FIN",1989,3,1,"Finland",0,"Full democracy",0,0.862109005451202,0.822625994682312,0,0,0,0,-2.14574265480042,8.50451278686523,0.157003745436668,0,1,9.57548332214355,0,"Y","Y","",1
"129","FJI",1987,2,1,"Fiji",1,"Partial democracy without factionalism",1,0.501040935516357,0.313833177089691,0,0,0,0,-0.951927185058594,6.56385564804077,0.336472243070602,0,1,7.99557638168335,0,"Y","","Y",1
"130","FRN",1958,3,1,"France",1,"Full democracy",1,0.801021695137024,0.725830137729645,0,0,0,0,-0.998964905738831,10.6879596710205,2.44234704971313,0,1,7.27791786193848,0,"Y","","Y",1
"131","FRN",1996,3,1,"France",1,"Full democracy",0,0.772162675857544,0.525168001651764,1,0,0,0,-1.93250346183777,10.9661273956299,2.44234704971313,0,1,9.85813808441162,0,"Y","","Y",1
